industry_description,total_injuries,total_deaths,total_dafw_cases,total_djtr_cases
"Bags, multiwall, made from purchased uncoated paper",23,0,8,13
"Bags, paper and disposable plastics, merchant wholesalers",68,0,30,15
"Bags, paper, uncoated, made from purchased paper",37,0,22,6
"Bags, plastics film, single wall or multiwall, manufacturing",681,0,239,267
"Bags, plastics, made from purchased woven plastics",16,0,3,9
"Bags, rubberized fabric, manufacturing",6,0,2,1
"Bags, sleeping, manufacturing",1,0,0,0
"Bags, textile, made from purchased woven or knitted materials",12,0,4,4
"Bags, textile, merchant wholesalers",1,0,1,0
"Bags, uncoated paper, made from purchased paper",9,0,5,3
"Bait, artificial, fishing, manufacturing",12,0,5,3
"Bait, artificial, merchant wholesalers",1,0,1,0
"Baitfish production, farm raising",2,0,0,0
Baked Goods Stores,1,0,0,0
"Baked goods (except bread, bread-type rolls), frozen, manufacturing",255,0,113,113
"Baked goods stores, retailing only (except immediate consumption)",20,0,12,3
Baked ham stores,0,0,0,0
"Bakeries with baking from flour on the premises, retailing not for immediate consumption",322,0,140,111
Bakery,5,0,0,4
Bakery Ingredients Manufacturing,15,0,6,3
Bakery Products Manufacturer,12,0,1,10
Bakery machinery and equipment manufacturing,125,0,16,38
Bakery machinery and equipment merchant wholesalers,68,0,16,17
Bakery ovens manufacturing,2,0,2,0
Bakery products (except frozen) merchant wholesalers,192,0,122,54
"Bakery products, dry (e.g., biscuits, cookies, crackers), manufacturing",595,1,191,232
"Bakery products, fresh (i.e., bread, cakes, doughnuts, pastries), made in commercial bakeries",678,0,254,219
"Bakery products, frozen, merchant wholesalers",24,0,22,2
Baking chocolate made from cacao beans,80,0,19,44
Baking chocolate made from purchased chocolate,105,0,27,41
Baking powder manufacturing,15,0,3,10
Balances and scales (except laboratory) merchant wholesalers,43,0,14,16
"Balances and scales, laboratory (except dental, medical), merchant wholesalers",0,0,0,0
"Balances, including laboratory-type, manufacturing",4,0,4,0
"Balancing equipment, motor vehicle, manufacturing",2,0,1,0
"Balcony railings, metal, manufacturing",18,0,8,2
"Balcony, metal, installation",0,0,0,0
"Balcony, precast concrete, installation",43,0,19,17
Bale throwers manufacturing,52,0,18,13
Bale ties made from purchased wire,1,0,0,0
"Balers, farm-type (e.g., cotton, hay, straw), manufacturing",96,0,17,41
"Baling machinery (e.g., paper, scrap metal) manufacturing",38,0,10,21
Ball Bearing Manufacturer,2,0,1,1
Ball Bearing Manufacturing,0,0,0,0
Ball and Roller Bearing Manufacture and Repair,0,0,0,0
Ball and Roller Bearing Manufacturing,68,1,13,10
Ball bearings manufacturing,94,0,28,36
"Ball joints (except aircraft, motor vehicle) manufacturing",23,0,8,8
"Ball valves, industrial-type, manufacturing",51,0,21,17
Ballet companies,74,0,4,0
"Ballet productions, live theatrical",6,0,0,0
"Balloons, plastics, manufacturing",107,0,48,41
"Balloons, rubber, manufacturing",86,0,36,16
Ballrooms,1,0,0,0
"Balls, baseball, basketball, football, golf, tennis, pool, and bowling, manufacturing",6,0,2,3
"Balls, steel, made in iron and steel mills",3,2,0,0
"Bandages and dressings, surgical and orthopedic, manufacturing",3,0,0,1
Bandages merchant wholesalers,3,0,2,1
Bands,0,0,0,0
Bank building construction,0,0,0,0
Bank clearinghouse associations,0,0,0,0
"Bank fixtures, ornamental metal, manufacturing",0,0,0,0
Bank holding companies (except managing),0,0,0,0
Bank trust offices,0,0,0,0
Banking,0,0,0,0
Banking regulatory agencies,7,0,2,2
"Banking, central",0,0,0,0
"Banking, investment",0,0,0,0
"Banks, Federal Reserve",19,0,8,9
"Banks, commercial",35,1,55,0
"Banks, private (i.e., unincorporated)",0,0,0,0
"Banks, trade (i.e., international trade financing)",9,0,0,2
Banners made from purchased fabrics,11,0,2,1
Banquet halls with catering staff,84,0,27,37
Bar associations,0,0,0,0
Bar made by extruding purchased aluminum,8,3,2,3
Bar made by rolling purchased aluminum,6,0,4,1
"Bar mill machinery, metalworking, manufacturing",3,0,1,1
Bar soaps manufacturing,82,0,26,28
"Bar, aluminum, made in integrated secondary smelting and extruding mills",46,0,16,16
"Bar, copper and copper alloy, made from purchased copper or in integrated secondary smelting and rolling, drawing or extruding plants",52,1,22,25
"Bar, nonferrous metals (except aluminum, copper), made from purchased metals in wire drawing plants or in integrated secondary smelting and rolling, drawing, or extruding plants",79,0,28,17
Barbecue sauce manufacturing,24,0,18,6
"Barbecues, grills, and braziers manufacturing",15,0,4,7
Barbed and twisted wire made in wire drawing plants,29,0,9,8
Barbed wire made from purchased wire,6,0,3,0
Barber shops,0,0,0,0
Barge Repair,1,0,0,0
Barge building,68,0,15,33
Barge rental or leasing,0,0,0,0
"Barge sections, prefabricated metal, manufacturing",334,0,84,95
"Barge transportation, canal (freight)",63,0,23,55
"Barge transportation, coastal or Great Lakes (including St. Lawrence Seaway)",46,0,36,7
Barite processing beyond beneficiation,12,0,2,2
Barley flour manufacturing,13,0,1,10
"Barley, malt, manufacturing",11,0,6,4
Barometric condensers manufacturing,0,0,0,0
Barrack construction,0,0,0,0
Barrel heading and staves manufacturing,41,0,13,14
"Barrels, gun, manufacturing",132,0,51,29
"Barrels, light gauge metal, manufacturing",36,0,10,12
"Barrels, new and reconditioned, merchant wholesalers",5,0,2,2
"Barrels, wood, coopered, manufacturing",60,0,25,22
"Barricades, metal, manufacturing",23,0,6,8
"Bars (i.e., drinking places), alcoholic beverage",2,0,0,1
"Bars, concrete reinforcing (rebar) made in steel mills",12,0,5,1
"Bars, concrete reinforcing (rebar), made from purchased steel in steel rolling mills",124,0,23,44
"Bars, concrete reinforcing, manufacturing",58,0,29,16
"Bars, iron, made in iron and steel mills",10,0,4,0
"Bars, metal (except precious), merchant wholesalers",22,0,2,6
"Bars, steel, made in cold rolling mills made from purchased steel",108,0,15,37
"Bars, steel, made in iron and steel mills",88,0,25,28
Basalt crushed and broken stone mining and/or beneficiating,1,1,0,0
Basalt mining or quarrying,0,0,0,0
Base facilities operation support services,556,0,207,155
"Baseball Teams, Professional or Semiprofessional",25,0,12,4
Baseball club minor leagues,58,0,57,0
Baseball club professional,49,0,47,0
"Baseball club, training facility",39,0,39,0
"Baseball clubs, professional or semiprofessional",830,0,104,489
"Baseball equipment and supplies (except footwear, uniforms) manufacturing",0,0,0,0
Baseball equipment and supplies merchant wholesalers,0,0,0,0
"Baseball teams, professional or semiprofessional",3,0,2,0
Baseball uniforms cut and sewn from purchased fabric (except apparel contractors),8,0,7,1
"Baseboard heaters, electric, non-portable, merchant wholesalers",6,0,1,3
Baseboard heating equipment manufacturing,59,0,18,23
"Baseboards, metal, manufacturing",122,0,25,69
Basic Inorganic Chemical Manufacturing,0,0,0,0
"Basketball Clubs, Professional or semi-professional",76,0,34,0
"Basketball equipment and supplies (except footwear, uniforms) manufacturing",12,0,3,6
"Basketball teams, professional or semiprofessional",248,0,106,41
"Baskets, iron or steel, made in wire drawing plants",0,0,0,0
"Baskets, metal, made from purchased wire",14,0,4,1
"Baskets, wood (e.g., round stave, veneer), manufacturing",8,0,4,0
Bath mats and bath sets made in carpet mills,33,0,16,10
Bath salts manufacturing,0,0,0,0
Bath shops,32,0,7,19
Bath tub refinishing on site,9,0,4,2
"Bathing suits, women's, girls', and infants', cut and sewn from purchased fabric (except apparel contractors)",2,0,1,0
Bathroom Remodeler,9,0,4,2
"Bathroom and toilet accessories, plastics, manufacturing",71,0,14,33
"Bathroom fixtures, metal, manufacturing",1,0,1,0
Bathroom plumbing fixture and sanitary ware installation,135,0,35,36
"Bathroom vanities (except freestanding), stock or custom wood, manufacturing",88,0,24,41
"Baths, steam or turkish",26,0,14,0
"Bathtubs, metal, manufacturing",7,0,2,2
"Bathtubs, plastics, manufacturing",299,0,71,130
Battered women's shelters,9,0,2,1
Batteries (except automotive) merchant wholesalers,4,0,1,1
"Batteries, automotive, dealers",5,0,1,2
"Batteries, automotive, merchant wholesalers",0,0,0,0
"Batteries, except automotive, dealers",0,0,0,0
"Batteries, primary, dry or wet, manufacturing",30,0,1,25
"Batteries, rechargeable, manufacturing",23,0,3,13
"Batteries, storage, manufacturing",113,0,26,52
"Batters, prepared, made from purchased flour",72,0,16,35
Battery Manufactures,5,0,3,2
Battery Manufacturing,326,0,177,41
Battery Storage Manufacturing,15,0,15,8
"Battery chargers, solid-state, manufacturing",20,0,4,14
"Battery testers, electrical, manufacturing",28,0,2,23
Batts and batting (except nonwoven fabrics) manufacturing,0,0,0,0
Bauxite brick manufacturing,2,0,0,0
"Bazaars (i.e., temporary stands)",10,0,5,0
"Beach clubs, recreational",0,0,0,0
Beach maintenance and cleaning services,0,0,0,0
"Beaches, bathing",1,0,0,0
Beading on textile products (except apparel) for the trade,1,0,0,0
Beaming machinery for yarn manufacturing,0,0,0,0
Beaming yarn,4,0,2,2
"Beams, wood, made from logs or bolts",236,1,69,76
"Bean (except dry) farming, field and seed production",3,0,2,0
Bean cleaning,2,0,1,1
"Bean farming, dry, field and seed production",0,0,0,0
Bean packing,0,0,0,0
"Bean sprout farming,  grown under cover",1,0,1,0
"Beans, baked, canning",5,0,0,4
"Beans, dry, merchant wholesalers",17,0,5,6
"Bearings (e.g., camshaft, crankshaft, connecting rod), automotive and truck gasoline engine, manufacturing",66,0,20,29
Bearings merchant wholesalers,28,0,6,14
"Bearings, ball and roller, manufacturing",95,0,34,26
"Bearings, plain (except internal combustion engine), manufacturing",25,0,9,7
Beautician services,2,0,0,1
Beauty  schools,0,0,0,0
"Beauty and barber shops, combined",0,0,0,0
Beauty parlor equipment and supplies merchant wholesalers,1,0,0,1
Beauty preparations merchant wholesalers,0,0,0,0
Beauty salons,7,0,3,0
Beauty shops,0,0,0,0
Beauty supplies merchant wholesalers,19,0,10,4
Beauty supply stores,9,0,6,2
"Bed frames, wood household-type, manufacturing",47,0,12,9
Bed linen supply services,13,0,7,6
"Bed stores, retail",155,0,85,10
Bedding plant growing (except vegetable and melon bedding plants),83,0,31,15
"Bedroom furniture (except upholstered), wood household-type, manufacturing",13,0,1,7
"Beds (except hospital), wood household-type, manufacturing",15,0,5,7
"Beds (including cabinet and folding), metal household-type (except hospital), manufacturing",1,0,0,1
"Beds, hospital, manufacturing",5,0,5,2
"Beds, hospital, merchant wholesalers",10,0,1,3
"Beds, sleep-system ensembles (i.e., flotation, adjustable), manufacturing",63,0,13,34
"Beds, wood dormitory-type, manufacturing",3,0,1,1
"Beds, wood hotel-type, manufacturing",2,0,0,1
Bedspreads and bed sets made from purchased fabrics,16,0,4,0
"Bee production (i.e., apiculture)",14,0,10,3
Beef Cattle Ranching and Farming,1,0,1,0
Beef Slaughterhouse,25,0,2,31
"Beef carcasses, half carcasses, primal and sub-primal cuts, produced in slaughtering plants",217,0,68,121
Beef cattle feedlots (except stockyards for transportation),287,1,101,98
"Beef cattle ranching & farming, including feedlots",43,0,21,17
Beef cattle ranching or farming,113,0,45,41
Beef produced in slaughtering plants,1474,0,354,1111
Beef stew made from purchased carcasses,18,0,6,11
"Beef, primal and sub-primal cuts, made from purchased carcasses",136,0,51,62
"Beeper (i.e., radio pager) communication carriers",0,0,0,0
Beer & Ale Merchants,5,0,5,0
Beer Distributor,8,0,1,2
Beer and Ale Merchant Wholesalers,187,0,129,39
"Beer bottles, glass, manufacturing",113,0,34,42
Beer brewing,116,0,41,28
"Beer cans, light gauge metal, manufacturing",12,0,10,3
Beer merchant wholesalers,662,0,273,259
"Beer stores, packaged",19,0,17,2
"Beer, Wine, and Liquor Stores",0,0,0,0
"Beet pulp, dried, manufacturing",5,0,2,1
Beet sugar refining,87,0,26,42
Behavioral Health,3,0,0,0
Behavioral research and development services,33,0,30,5
"Bellows, hand, manufacturing",16,0,12,0
"Bellows, industrial type, manufacturing",7,0,3,1
Bells (musical instruments) manufacturing,1,0,2,0
"Bells, electric, manufacturing",5,0,1,4
Belt conveyor systems manufacturing,561,0,165,169
"Belting fabrics, narrow woven",7,0,2,4
Belting made from purchased fabrics,2,0,1,0
"Belting, industrial, merchant wholesalers",7,0,4,2
"Belting, rubber (e.g., conveyor, elevator, transmission), manufacturing",111,1,39,32
Beltline railroads,0,0,0,0
"Belts, conveyor, made from purchased wire",28,0,16,9
"Belts, money, any material, cut and sewn from purchased fabric (except apparel contractors)",4,0,1,0
"Benches, park-type (except concrete, stone), manufacturing",55,0,21,15
"Benches, public building-type, manufacturing",2,0,0,1
"Benches, work, manufacturing",7,0,3,1
"Bending and forming machines, metalworking, manufacturing",3,0,0,1
"Bends, pipe, made from purchased metal pipe",134,0,41,63
Benefit consulting services,5,0,5,0
Bentwood (steam bent) products (except furniture) manufacturing,0,0,0,0
Benzene made from refined petroleum or liquid hydrocarbons,1,0,1,0
"Berries, canned, manufacturing",5,0,5,3
"Berries, fresh, merchant wholesalers",205,0,122,55
Berry (except strawberry) farming,48,1,18,5
Berry harvesting machines manufacturing,1,0,0,1
"Beryllium castings (except die-castings), unfinished manufacturing",1,0,2,0
"Beryllium die-castings, unfinished, manufacturing",14,0,5,6
Beta-ray irradiation equipment manufacturing,1,0,0,0
Better business bureaus,0,0,0,0
"Beverage (e.g., coffee, juice, soft drink) bars, nonalcoholic, fixed location",152,1,58,50
Beverage Distributor,122,0,47,22
Beverage Manufacturing -Spirits,2,0,1,1
Beverage Packaging Machinery,1,0,0,0
Beverage bases manufacturing,26,0,8,11
Beverage bases merchant wholesalers,307,0,118,143
Beverage bottling machinery merchant wholesalers,1,0,1,0
Beverage concentrates merchant wholesalers,56,0,11,35
"Beverage containers, glass, manufacturing",46,0,13,16
"Beverage coolers, mechanical, merchant wholesalers",26,0,6,9
Beverage flavorings (except coffee based) manufacturing,40,0,6,28
Beverage syrups (except coffee based) manufacturing,19,0,9,8
"Beverages, alcoholic (except distilled spirits, wine), merchant wholesalers",1837,1,601,897
"Beverages, beer, ale, and malt liquors, manufacturing",92,0,26,43
"Beverages, dietary, dairy and nondairy based",92,0,43,15
"Beverages, fruit and vegetable drinks, cocktails, and ades, manufacturing",86,0,39,30
"Beverages, fruit and vegetable juice, manufacturing",148,0,57,46
"Beverages, liquors (except brandies), manufacturing",35,0,13,10
"Beverages, milk based (except dietary), manufacturing",284,0,130,118
"Beverages, naturally carbonated bottled water, manufacturing",162,0,46,64
"Beverages, soft drink (including artificially carbonated waters), manufacturing",565,0,281,195
"Beverages, wine and distilled spirits, merchant wholesalers",334,0,120,113
"Beverages, wines and brandies, manufacturing",54,0,25,9
"Bias bindings, woven, manufacturing",0,0,0,0
Bible societies,1,0,0,0
"Bibs and aprons, waterproof (e.g., plastics, rubber, similar materials), rubberizing fabric and manufacturing bibs and aprons",0,0,0,0
Bicycle courier,6,0,2,2
Bicycle rental,3,0,7,1
Bicycles (except motorized) merchant wholesalers,1,0,0,0
Bicycles and parts manufacturing,27,0,10,16
Billboard display advertising services,2,0,0,2
Billboard erection,4,0,2,0
Billboards manufacturing,63,0,17,20
"Billets, steel, made in iron and steel mills",16,0,2,7
Billiard equipment and supplies manufacturing,4,0,1,3
